TM2_LINK,TM2_Code,Disorder,Module
http://id.who.int/icd/release/11/mms/1698745907,SA00,Hypochondrium pain disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1514919681,SA01,Jaundice disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1581392978,SA02,Liver distension disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1543383580,SA03,Tympanites disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1495280955,SA04,Liver abscess disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1610078543,SA05,Gallbladder distension disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/2105320328/other,SA0Y,Other specified liver system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/2105320328/unspecified,SA0Z,"Liver system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1013501005,,Heart system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/713919477,,Palpitation disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/846189212,SA10,Inducible palpitation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1070055580,SA11,Spontaneous palpitation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/713919477/other,SA1Y,Other specified palpitation disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/713919477/unspecified,SA1Z,"Palpitation disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/725120746,,Chest impediment disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/869937025,SA20,True heart pain disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/725120746/other,SA2Y,Other specified chest impediment disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/725120746/unspecified,SA2Z,"Chest impediment disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1013501005/other,SA4Y,Other specified heart system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1013501005/unspecified,SA4Z,"Heart system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/806244022,,Spleen system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1346262926,SA50,Dysphagia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1521702727,SA51,Stomach ache disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/591391756,SA52,Epigastric distension disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1337853836,SA53,Epigastric upset disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1776466636,SA54,Food retention disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/494995491,SA55,Diarrhea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/278299079,SA56,Dysentery disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/526323460,SA57,Constipation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1693791022,SA58,Abdominal pain disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/277450653,SA59,Intestinal abscess disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/806244022/other,SA5Y,Other specified spleen system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/806244022/unspecified,SA5Z,"Spleen system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/238836173,,Lung system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1501144241,SA60,Common cold disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/520521358,,Cough disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/132440039,SA70,Cough with dyspnea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/520521358/other,SA7Y,Other specified cough disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/520521358/unspecified,SA7Z,"Cough disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/476937396,SA80,Dyspnea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/87742658,SA81,Wheezing disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/801378687,SA82,Lung distension disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1280934742,SA83,Pleural fluid retention disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1737184433,SA84,Lung heat disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1791845396,SA85,Lung withering disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1047674247,SA86,Chest bind disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/238836173/other,SA8Y,Other specified lung system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/238836173/unspecified,SA8Z,"Lung system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/214862500,,Kidney system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1428319115,,Strangury disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1419220630,SA90,Stony stranguria disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1447662001,SA91,Heat stranguria disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1428319115/other,SA9Y,Other specified strangury disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1428319115/unspecified,SA9Z,"Strangury disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/743854214,SB00,Kidney stagnation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/272020366,SB01,Flooding urine disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/317240489,SB02,Enuresis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/324880820,SB03,Turbid urine disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/383862778,SB04,Dribbling urinary block disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1412932831,SB05,Block and repulsion disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1827715872,SB06,Edema disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/780687265,SB06.0,Kidney edema disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1552944244,SB06.1,Wind edema disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1827715872/other,SB06.Y,Other specified edema disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1827715872/unspecified,SB06.Z,"Edema disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1532893269,SB07,Lower abdominal colic disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1525409098,SB08,Premature ejaculation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1479926383,SB09,Involuntary ejaculation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1501568884,SB0A,Persistent erection disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1569319969,SB0B,Impotence disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1547440446,SB0C,Male infertility disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/214862500/other,SB0Y,Other specified kidney system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/214862500/unspecified,SB0Z,"Kidney system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/637432379/other,SB2Y,Other specified organ system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/637432379/unspecified,SB2Z,"Organ system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/111874651,,Other body system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/12821860,,Skin and mucosa system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1512913627,SB30,Dampness sore disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1868532835,SB31,Impetigo disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/523887328,,Furuncle disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1990786336,SB40,Septicemic furunculosis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/523887328/other,SB4Y,Other specified furuncle disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/523887328/unspecified,SB4Z,"Furuncle disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1667091155,SB50,Bed sore disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/642323160,,Abscess disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/855857593,SB60,Deep multiple abscess disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1716523768,SB61,Anal abscess disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/642323160/other,SB6Y,Other specified abscess disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/642323160/unspecified,SB6Z,"Abscess disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/585956555,SB70,Headed carbuncle disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/629332645,SB71,Foot dampness itch disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1620443808,SB72,Tinea circinate disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/336333706,SB73,Dry skin disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1332748764,SB74,Gangrene disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1748085261,SB75,Wart disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/607594424,SB76,Hand dampness itch disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/678226050,SB77,Erysipelas disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/396249715,SB78,Cellulitis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/671745957,SB79,Thrush disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1836593287,SB7A,Herpes zoster disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/2022508362,SB7B,Interior haemorrhoid disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1009525330,SB7C,Fissured anus disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/12821860/other,SB7Y,Other specified skin and mucosa system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/12821860/unspecified,SB7Z,"Skin and mucosa system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/634206253,,Female reproductive system disorders (TM1) (including childbirth),TM1
http://id.who.int/icd/release/11/mms/1216941414,,Menstruation associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1156594276,,Menstruation cycle disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1238772413,SB80,Advanced menstruation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1258827162,SB81,Delayed menstruation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1214502816,SB82,Irregular menstruation disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1156594276/other,SB8Y,Other specified menstruation cycle disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1156594276/unspecified,SB8Z,"Menstruation cycle disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/2003357330,SB90,Menorrhagia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/823651501,SB91,Decreased menstruation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1974913461,SB92,Prolonged menstruation disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/51084411,SB93,Metrorrhagia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/868871050,SB94,Amenorrhea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1932827470,SB95,Menopausal disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/46039400,SB96,Dysmenorrhea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1216941414/other,SB9Y,Other specified menstruation associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1216941414/unspecified,SB9Z,"Menstruation associated disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1159798626,,Pregnancy associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/105047793,SC00,Morning sickness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/2122522849,SC01,Unstable fetus disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/508215378,SC02,Bladder pressure disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/133635054,SC03,Eclampsia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1122223081,SC04,Floating sensation pregnancy disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1159798626/other,SC0Y,Other specified pregnancy associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1159798626/unspecified,SC0Z,"Pregnancy associated disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/2063581907,,Puerperium associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1326313936,SC10,Puerperal abdominal pain disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/195876056,SC11,Puerperal wind disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1093143450,SC12,Hypogalactia disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/971623818,SC13,Postpartum lochiorrhea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/2063581907/other,SC1Y,Other specified puerperium associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/2063581907/unspecified,SC1Z,"Puerperium associated disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/102778076,,Other female reproductive system associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/493582315,SC20,Leukorrhea disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/200629598,SC21,Vaginal flatus disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/140975269,SC22,Infertility disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1330935878,SC23,Uterine mass disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1315827723,SC24,Breast lump disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/102778076/other,SC2Y,Other specified other female reproductive system associated disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/102778076/unspecified,SC2Z,"Other female reproductive system associated disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/634206253/other,SC4Y,Other specified female reproductive system disorders (TM1) (including childbirth),TM1
http://id.who.int/icd/release/11/mms/634206253/unspecified,SC4Z,"Female reproductive system disorders (TM1) (including childbirth), unspecified",TM1
http://id.who.int/icd/release/11/mms/1063442626,,"Bone, joint and muscle system disorders (TM1)",TM1
http://id.who.int/icd/release/11/mms/1186414463,,Joint impediment disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1088249821,SC50,Cold impediment disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/75266757,SC51,Wind impediment disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/941398477,SC52,Dampness impediment disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1186414463/other,SC5Y,Other specified joint impediment disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1186414463/unspecified,SC5Z,"Joint impediment disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/136820223,SC60,Muscle spasm disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1295216122,SC61,Lumbago disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1521642692,SC62,Numbness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1894151151,SC63,Wilting disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1063442626/other,SC6Y,"Other specified bone, joint and muscle system disorders (TM1)",TM1
http://id.who.int/icd/release/11/mms/1063442626/unspecified,SC6Z,"Bone, joint and muscle system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/435568516,,"Eye, ear, nose and throat system disorders (TM1)",TM1
http://id.who.int/icd/release/11/mms/943970662,SC70,Night blindness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/926272583,SC71,Wind glaucoma disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/847888905,SC72,Inflammatory eyelid disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/667126120,SC73,Non-inflammatory eyelid disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/16715198,SC74,Corneal opacity disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1436683128,SC75,Tinnitus disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1741997263,,Deafness disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/2134285734,SC80,Sudden deafness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1684846978,SC81,Gradual deafness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1741997263/other,SC8Y,Other specified deafness disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1741997263/unspecified,SC8Z,"Deafness disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/2112395905,SC90,Allergic rhinitis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1883277447,SC91,Nasal sinusitis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/2086496156,SC92,Hoarseness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/172594692,SC93,Tonsillitis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/435568516/other,SC9Y,"Other specified eye, ear, nose and throat system disorders (TM1)",TM1
http://id.who.int/icd/release/11/mms/435568516/unspecified,SC9Z,"Eye, ear, nose and throat system disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/250371211,,Brain system disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/504580572,SD00,Facial paralysis disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/600201167,,Headache disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/578005716,SD10,Migraine disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1657041603,SD11,Head wind disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/600201167/other,SD1Y,Other specified headache disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/600201167/unspecified,SD1Z,"Headache disorders (TM1), unspecified",TM1
http://id.who.int/icd/release/11/mms/1756298260,SD20,Convulsion disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1808074286,SD21,Cerebral tinnitus disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1875703165,SD22,Vertigo disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/275724804,SD23,Forgetfulness disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/1763126515,SD24,Frequent protrusion of tongue disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/682077015,,Wind stroke disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/1612346854,SD30,Prodrome of wind stroke disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/2029530253,SD31,Sequela of wind stroke disorder (TM1),TM1
http://id.who.int/icd/release/11/mms/682077015/other,SD3Y,Other specified wind stroke disorders (TM1),TM1
http://id.who.int/icd/release/11/mms/682077015/unspecified,SD3Z,"Wind stroke disorders (TM1), unspecified",TM1
